Ano do BO (RDO);Data do Acidente;Tipo do veiculo da vitima;Tipo de vitima;Tipo de acidente;Sexo;Idade da vitima
2023;15/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;44
2023;24/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;27
2023;24/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;63
2023;24/02/2023;CAMINHAO;CONDUTOR;COLISAO;MASCULINO;62
2023;21/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;65
2023;23/02/2023;MOTOCICLETA;PASSAGEIRO;OUTROS;MASCULINO;17
2023;24/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;24/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;23
2023;01/02/2023;NAO DISPONIVEL;PASSAGEIRO;NAO DISPONIVEL;FEMININO;66
2023;20/02/2023;BICICLETA;CONDUTOR;NAO DISPONIVEL;MASCULINO;58
2023;19/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;MASCULINO;18
2023;23/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;55
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;88
2023;23/02/2023;CAMINHAO;PASSAGEIRO;COLISAO;MASCULINO;37
2023;23/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;FEMININO;57
2023;23/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;61
2023;22/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;54
2023;04/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;42
2023;22/02/2023;BICICLETA;CONDUTOR;OUTROS;MASCULINO;76
2023;22/02/2023;CAMINHAO;CONDUTOR;CHOQUE;MASCULINO;48
2023;18/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;55
2023;17/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;NAO DISPONIVEL
2023;13/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;74
2023;28/01/2023;MOTOCICLETA;CONDUTOR;NAO DISPONIVEL;MASCULINO;71
2023;22/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;23
2023;22/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;43
2023;22/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;58
2023;22/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;77
2023;21/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;52
2023;21/02/2023;BICICLETA;CONDUTOR;OUTROS;MASCULINO;52
2023;10/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;33
2023;21/02/2023;BICICLETA;CONDUTOR;OUTROS;MASCULINO;60
2023;21/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;40
2023;15/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;22
2023;20/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;27
2023;21/02/2023;AUTOMOVEL;CONDUTOR;OUTROS;MASCULINO;40
2023;21/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;53
2023;21/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;25
2023;21/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;18
2023;21/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;52
2023;19/02/2023;MOTOCICLETA;CONDUTOR;NAO DISPONIVEL;MASCULINO;48
2023;21/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;70
